Description,From (Problem),From (Variation),To (Problem),To (Variation),Reduction ID,Type,Calls,Time Complexity,Space Complexity,Model,Assumption/Hypothesis,Implications,Implied lower bound power,References,Link,Year,Preserves,Notes,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP","Shortest Path
(Directed graphs)",Replacement Paths Problem (RPP),59,Subcubic equivalence,,,,,APSP Hypothesis,"if: to-time: $T(n) \poly \log M$ in graphs with integer weights in $[0, M]$
then: from-time: $O(n^2 T(O(n^{1/3}))\poly\log M)$ in graphs with integer weights in $[-M, M]$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Corollary 5.1",2018,,,,
,Graph Triangle Problems,Triangle Detection,Independent Set Queries,Independent Set Queries,60,,,,,,,"if: to-time: $O(n^2 / \log^c n)$ to answer all subsequent batches of $\log n$ independent set queries from a graph that takes $O(n^k)$ time to preprocess for some $c,k > 0$
then: from-time: $O(n^3 / \log^{c+1} n)$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 6.5",2018,,,,This paper's Theorem 1.5 needs to be in this sheet somewhere
,Matrix Product,BMM,Independent Set Queries,Independent Set Queries,61,,,,,,,"if: to-time: $O(n^2 / \log^c n)$ to answer all subsequent batches of $\log n$ independent set queries from a graph that takes $O(n^k)$ time to preprocess for some $c,k > 0$
then: from-time: $O(n^3 / \log^{c+1} n)$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 6.5",2018,,,,
,Graph Triangle Problems,Negative Triangle,Price Query,Price Query,62,,,,,,,"if: to-time: $O(n^2 / f(n))$ to answer any subsequent price query after $n$-node edge-weighted graph is preprocessed in $O(^k)$ time for some constant $k > 0$
then: from-time: $O(n^3 / f(n^{1/(2k)})$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 1.5",2018,,,,
,Graph Triangle Problems,Nondecreasing Triangle,Graph Triangle Problems,Triangle in Unweighted Graph,63,Strongly subcubic,,,,,,"if: to-time: $T(n)$ for unweighted graph
then: from-time: $O(n^{3/2} \sqrt{T(O(n))})$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 7.1",2018,,,,
,Matrix Product,"$(\min, \leq)$ Product",Graph Triangle Problems,Triangle in Unweighted Graph,64,Strongly subcubic,,,,,,"if: to-time: $T(n)$ for unweighted graph
then: from-time: $O(n^{3/2} \sqrt{T(O(n))} \log n)$",3,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 7.1",2018,,,,
,3SUM,All-Integers 3SUM,3SUM,3SUM,65,Subquadratic equivalence,,,,,3-SUM,"if: to-time: $O(n^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O(n^{1.5} + n^{2-\epsilon / 2})$",2,"V. V. Williams, R. R. Williams, Subcubic Equivalences Between Path, Matrix, and Triangle Problems. 2018.","https://dl.acm.org/doi/pdf/10.1145/3186893, Theorem 8.1",2018,,,,
,3SUM,3SUM,3SUM,All-Integers 3SUM,66,Subquadratic equivalence,,,,,3-SUM,"if: to-time: $T(n)$
then: from-time: $O(T(n))$",2,Trivial,,,,,,
,Graph Metrics,Directed Radius,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",67,Subcubic equivalence,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Graph Metrics,Undirected Radius,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",68,Subcubic equivalence,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Graph Metrics,Directed Median,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",69,Subcubic equivalence,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Graph Metrics,Undirected Median,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",70,Subcubic equivalence,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Vertex Centrality,Betweenness Centrality (BC),All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",71,Subcubic equivalence,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Vertex Centrality,Betweenness Centrality (BC),All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",72,Subcubic equivalence,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Vertex Centrality,Reach Centrality,Graph Metrics,Diameter,73,Subcubic equivalence,,,,,,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, ",2015,,,,
,Boolean Satisfiability,CNF-SAT,Graph Metrics,Approximate Diameter,74,,,,,,SETH,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$ for a $(3/2 - \epsilon)$-approximation
then: from-time: $O*((2-\delta)^n)$ for constant $\delta > 0$",2,"L. Roditty and V. Vassilevska Williams. Fast approximation algorithms for the diameter and radius of sparse graphs. In STOC, pages 515–524, 2013.",https://people.csail.mit.edu/virgi/diam.pdf,2013,,,,
,Graph Triangle Problems,Negative Triangle Detection,Vertex Centrality,Betweenness Centrality (BC),75,,,,,,,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge graph
then: from-time: $\tilde{O}T(n,m))$",,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.2",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Graph Metrics,Radius,76,,,,,,,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$",,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.3",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Graph Metrics,Median,77,,,,,,,"if: to-time: $\tilde{O}(T(n,M))$ for $n$-node $m$-edge graph with integer weights in $[-M, M]$
then: from-time: $\tilde{O}T(n,M))$",,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.4",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Vertex Centrality,All-Nodes Median Parity,78,,,,,,,"if: to-time: $\tilde{O}(T(n,M))$ for $n$-node $m$-edge graph with integer weights in $[-M, M]$
then: from-time: $\tilde{O}T(n,M))$",,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 2.5",2015,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Vertex Centrality,All-Nodes Median Parity,79,,,,,,SETH,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 2.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",Vertex Centrality,All-Nodes Median Parity,80,,,,,,SETH,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 2.1",2015,,,,
,Graph Metrics,Diameter,Vertex Centrality,Reach Centrality,81,Subcubic equivalence,,,,,APSP Hypothesis,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph
then: from-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 3.1",2015,,,,
For directed graphs only,Vertex Centrality,Reach Centrality,Graph Metrics,Diameter,82,Subcubic equivalence,,,,,APSP Hypothesis,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed graph with integer weights in $[-M,M]$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 3.2",2015,,,,
,Graph Metrics,Diameter,Vertex Centrality,Positive Betweenness Centrality,83,,,,,,APSP Hypothesis,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph
then: from-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.1",2015,,,,
,Vertex Centrality,Positive Betweenness Centrality,Graph Metrics,Diameter,84,,,,,,APSP Hypothesis,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed (resp. undirected) graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge directed (resp. undirected) graph with integer weights in $[-M,M]$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.2",2015,,,,
,Vertex Centrality,Reach Centrality,Vertex Centrality,Positive Betweenness Centrality,85,,,,,,,"if: to-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph
then: from-time: $\tilde{O}(T(n,m))$ for $n$-node $m$-edge directed (resp. undirected) graph",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.3",2015,,,,
,Graph Triangle Problems,Negative Triangle Detection,Vertex Centrality,All-Nodes Positive Betweenness Centrality,86,,,,,,,"if: to-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge graph with integer weights in $[-M,M]$
then: from-time: $\tilde{O}(T(n,m,M))$ for $n$-node $m$-edge graph with integer weights in $[-M,M]$",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.4",2015,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Vertex Centrality,Directed All-Nodes Positive Betweenness Centrality,87,,,,,,APSP Hypothesis,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",Vertex Centrality,Undirected All-Nodes Positive Betweenness Centrality,88,,,,,,APSP Hypothesis,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Directed, Weighted APSP",Vertex Centrality,Directed All-Nodes Reach Centrality,89,,,,,,APSP Hypothesis,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
,All-Pairs Shortest Paths (APSP),"Undirected, Weighted APSP",Vertex Centrality,Undirected All-Nodes Reach Centrality,90,,,,,,APSP Hypothesis,"if: to-time: Truly subcubic
then: from-time: Truly subcubic",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.1",2015,,,,
$\alpha$-approximation with $\alpha > 1$,Graph Metrics,Diameter,Vertex Centrality,Approximate Betweenness Centrality,91,Subcubic Monte-Carlo equivalence,,,,,APSP Hypothesis,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.2",2015,,,,
$\alpha$-approximation with $\alpha > 1$,Vertex Centrality,Approximate Betweenness Centrality,Graph Metrics,Diameter,92,Subcubic Monte-Carlo equivalence,,,,,APSP Hypothesis,,3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.2",2015,,,,
,Vertex Centrality,Betweenness Centrality (BC),Graph Metrics,Diameter,93,,,,,,APSP Hypothesis,"if: to-time: Truly subcubic
then: from-time: Truly subcubic Monte-Carlo PTAS",3,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Lemma 4.10",2015,,,,
"Positive Betweenness Centrality in directed or undirected graphs with weights in $\{1, 2\}$",Boolean Satisfiability,CNF-SAT,Vertex Centrality,Positive Betweenness Centrality,94,,,,,,SETH,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O*(2^{(1-\delta)n})$ for some $\delta > 0$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.3",2015,,,,
$\alpha$-approximation for any finite $\alpha$ (possibly depending on $m$),Boolean Satisfiability,CNF-SAT,Vertex Centrality,Approximate Betweenness Centrality,95,,,,,,SETH,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O*(2^{(1-\delta)n})$ for some $\delta > 0$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.2",2015,,,,
$\alpha$-approximation for any finite $\alpha$ (possibly depending on $m$),Boolean Satisfiability,CNF-SAT,Vertex Centrality,Approximate Reach Centrality,96,,,,,,SETH,"if: to-time: $O(m^{2-\epsilon})$ for some $\epsilon > 0$
then: from-time: $O*(2^{(1-\delta)n})$ for some $\delta > 0$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Corollary 4.2",2015,,,,
"$(2-\epsilon)$-approximation in undirected, unweighted graphs for some constant $\epsilon > 0$",Boolean Satisfiability,CNF-SAT,Vertex Centrality,Approximate Reach Centrality,97,,,,,,SETH,"if: to-time: $O(m^{2-\epsilon})$
then: from-time: $O*(2^{(1-\epsilon/2)n})$",2,"Amir Abboud, Fabrizio Grandoni, and Virginia Vassilevska Williams. Subcubic equivalences between graph centrality problems, APSP and diameter. In Proceedings of the Twenty-Sixth Annual ACM-SIAM Symposium on Discrete Algorithms, SODA 2015, San Diego, CA, USA, January 4-6, 2015, pages 1681–1697, 2015.","https://epubs.siam.org/doi/10.1137/1.9781611973730.112, Theorem 4.4",2015,,,,
,Clique,Min-Weight k-Clique,Graph Cycles,Minimum Weight k-Cycle,98,,,,,,Min-Weight k-Clique Hypothesis,"if: to-time: $O(nm^{\lceil k/2 \rceil / \lambda - \epsilon})$ for any $\epsilon > 0$ for $m = \Theta(n^{1+1/(\lambda - 1)}) edges and $n$ nodes where $\lambda = k - \lceil k/2 \rceil + 1$
then: from-time: $O(n^{k - \epsilon})$ for some $\epsilon > 0$",,"Andrea Lincoln, Virginia Vassilevska Williams, and R. Ryan Williams. Tight hardness for shortest cycles and paths in sparse graphs. In Proc. SODA, page to appear, 2018.","https://arxiv.org/pdf/1712.08147v2.pdf, Corollary 4.2",2018,,Not sure this from-time is correct,,
,Graph Cycles,Min-Weight k-Cycle,Wiener Index,Undirected Wiener Index,99,,,,,,Min-Weight k-Clique Hypothesis,"if: to-time: $f(N,M)$ for N nodes, M edges
then: from-time: $\tilde{O}(f(N,M)+M)$",,"Andrea Lincoln, Virginia Vassilevska Williams, and R. Ryan Williams. Tight hardness for shortest cycles and paths in sparse graphs. In Proc. SODA, page to appear, 2018.","https://arxiv.org/pdf/1712.08147v2.pdf, Theorem B.2",2018,,,,
,Boolean Satisfiability,CNF-SAT,Vertex Centrality,#SSR,100,,,,,,SETH,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"#SSR: Single Source Reachability Count (#SSR), maintain: a directed graph with a fixed source $s$, under: edge insertions/delitions, answer: given $l$ is the number of nodes reachable from $s<l$",,
,Boolean Satisfiability,CNF-SAT,Strongly Connected Components,SC2,101,,,,,,SETH,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"SC2: 2 Strong Components, maintain: a directed graph, under: edge insertion/deletions, answer: are there more than 2 strongly connected components?",,
,Boolean Satisfiability,CNF-SAT,Strongly Connected Components,MaxSCC,102,,,,,,SETH,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"MaxSCC: Maximum Strongly Connected Component, maintain: a directed graph, under: edge insertions/deletions, answer: what is the size of the largest SCC?",,
,Boolean Satisfiability,CNF-SAT,Strongly Connected Components,Connected Subgraph,103,,,,,,SETH,"if: to-time: $O(m^{1-\epsilon})$ amrotized update and query times on sparse graphs, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",1,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"ConnSub: Connected Subgraph, maintain: a fixed undirected graph and a vertex subset $S$, under: insert/remove a node into/from $S$, answer: is the subgraph induced by $S$ connected?",,
,Boolean Satisfiability,CNF-SAT,Graph Metrics,4/3-Diameter,104,,,,,,SETH,"if: to-time: $O(m^{2-\epsilon})$ amrotized update and query times, for any $\epsilon > 0$, even after arbitrarily long polynomial time preprocessing
then: SETH is false",2,"Abboud, Amir, and Virginia Vassilevska Williams. ""Popular conjectures imply strong lower bounds for dynamic problems."" In 2014 IEEE 55th Annual Symposium on Foundations of Computer Science, pp. 434-443. IEEE, 2014.",https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,2014,,"4/3-Diameter: $(4/3-\epsilon)$-Approximate Diameter, maintain: an undeirected graph, under: edge insertions/deletions, answer: is the diameter 3 or 4?",,
